,Unnamed: 0,날짜,기사제목
225,6, 2021.06.15 09:07,"“아리아, 구해줘” SKT 인공지능 돌봄, 어르신 100명 구했다"
226,7, 2021.06.15 08:31,"“아리아, 구해줘”…SKT, AI 돌봄으로 어르신 100명 구해"
227,8, 2021.06.15 08:40,"메리츠證 ""SK텔레콤, 메타버스·구독형 서비스 초기 성과가 주가 좌우할..."
228,9, 2021.06.15 08:07,"SKT, 구독 서비스 성과로 주가 결정될 듯-메리츠"
229,10, 2021.06.15 07:23,"[클릭 e종목]""분할 앞둔 SK텔레콤, 주가 상승 정당…7월까지 오른..."
230,11, 2021.06.15 07:11,"SK텔레콤·KT 대거 사들인 외국인, 하반기엔 못 산다…왜?"
231,12, 2021.06.14 14:34,"SKT, 3D 영상 제작사와 손잡고 '메타버스' 키운다"
232,13, 2021.06.14 11:05,"SKT, 비브스튜디오스에 지분투자…메타버스 경쟁력 강화"
233,14, 2021.06.14 09:08,"SKT, '너를 만났다' 비브스튜디오스와 메타버스 강화"
234,15, 2021.06.14 11:05,"SKT, SK 패밀리社 개발자 소통 커뮤니티 ‘데보션’ 론칭"
235,16, 2021.06.14 10:38,"SKT, ‘비브스튜디오스’와 손잡고 메타버스 경쟁력 강화"
236,17, 2021.06.14 08:35,"SKT, VR다큐 ‘너를 만났다’ 제작사에 투자…“메타버스 강화”"
237,18, 2021.06.13 20:08,"SK텔레콤-벤츠 코리아, 유망 스타트업 발굴"
238,19, 2021.06.13 10:13,"SKT-벤츠, 유망 스타트업 발굴해 키운다"
239,20, 2021.06.13 18:01,벤츠코리아-SKT 손잡고 스타트업 발굴·육성 ‘앞장’
240,21, 2021.06.13 12:44,"벤츠코리아, SK텔레콤과 손잡고 스타트업 육성한다"
241,22, 2021.06.13 11:07,"메르세데스-벤츠, SKT 스타트업 육성 협력 MOU 체결"
242,23, 2021.06.13 09:12,벤츠 코리아-SK텔레콤 '스타트업' 발굴·육성 손잡았다
243,0, 2021.06.15 07:23,"[클릭 e종목]""분할 앞둔 SK텔레콤, 주가 상승 정당…7월까지 오른다..."
244,1, 2021.06.15 07:11,"SK텔레콤·KT 대거 사들인 외국인, 하반기엔 못 산다…왜?"
245,2, 2021.06.14 14:34,"SKT, 3D 영상 제작사와 손잡고 '메타버스' 키운다"
246,3, 2021.06.14 11:05,"SKT, 비브스튜디오스에 지분투자…메타버스 경쟁력 강화"
247,4, 2021.06.14 09:08,"SKT, '너를 만났다' 비브스튜디오스와 메타버스 강화"
248,5, 2021.06.14 11:05,"SKT, SK 패밀리社 개발자 소통 커뮤니티 ‘데보션’ 론칭"
249,6, 2021.06.14 10:38,"SKT, ‘비브스튜디오스’와 손잡고 메타버스 경쟁력 강화"
250,7, 2021.06.14 08:35,"SKT, VR다큐 ‘너를 만났다’ 제작사에 투자…“메타버스 강화”"
251,8, 2021.06.13 20:08,"SK텔레콤-벤츠 코리아, 유망 스타트업 발굴"
252,9, 2021.06.13 10:13,"SKT-벤츠, 유망 스타트업 발굴해 키운다"
253,10, 2021.06.13 18:01,벤츠코리아-SKT 손잡고 스타트업 발굴·육성 ‘앞장’
254,11, 2021.06.13 12:44,"벤츠코리아, SK텔레콤과 손잡고 스타트업 육성한다"
255,12, 2021.06.13 11:07,"메르세데스-벤츠, SKT 스타트업 육성 협력 MOU 체결"
256,13, 2021.06.13 09:12,벤츠 코리아-SK텔레콤 '스타트업' 발굴·육성 손잡았다
257,14, 2021.06.11 16:14,"코스피, 美인플레 우려에도 소폭 올라…SKT 1.83%↑"
258,15, 2021.06.11 14:18,"SK텔레콤, 기업분할·액면분할에 2%대 강세"
259,16, 2021.06.11 10:04,"SK텔레콤, 인적분할·액면분할 소식에 3%대 강세"
260,17, 2021.06.11 09:40,[특징주] 인적분할·액면분할 소식에 SK텔레콤 3% 강세
